Codigo,Nome,CH,Semestre,Curso,Pre-requisitos,Ofertado,Horario,Lab
1,Algoritmos e Programação / M1,4,1,CC,,SIM,NULL,M
1,Algoritmos e Programação / M2,4,1,CC,,SIM,NULL,M
1,Algoritmos e Programação / M5,4,1,Ambos,,SIM,NULL,M
1,Algoritmos e Programação / M6,4,1,Ambos,,SIM,NULL,M
5,Sistemas Discretos / T1,4,1,CC,,SIM,NULL,N
5,Sistemas Discretos / T2,4,1,CC,,NAO,NULL,N
5,Sistemas Discretos / T3,4,1,Ambos,,SIM,NULL,N
8,Laboratório de Computação / P1,2,1,CC,,SIM,NULL,T
8,Laboratório  de Computação / P2,2,1,CC,,SIM,NULL,T
8,Laboratório  de Computação / P3,2,1,CC,,SIM,NULL,T
11,Introdução a Ciência da Computação / T1,4,1,CC,,SIM,NULL,N
11,Introdução a Ciência da Computação / T2,4,1,Ambos,,SIM,NULL,N
13,Lógica para Computação / T1,4,1,CC,,SIM,NULL,N
13,Lógica para Computação / T2,4,1,CC,,NAO,NULL,N
15,Análise Combinatória e Teoria dos Grafos / T1,4,2,CC,,SIM,NULL,N
16,Programação de Computadores / M1,4,2,CC,1,SIM,NULL,M
16,Programação de Computadores / M2,4,2,CC,1,SIM,NULL,M
16,Programação de Computadores / M3,4,2,Ambos,1,SIM,NULL,M
16,Programação de Computadores / M4,4,2,Ambos,1,SIM,NULL,M
20,Técnicas Digitais / M1,4,2,CC,11,SIM,NULL,M
20,Técnicas Digitais / M2,4,2,CC,11,SIM,NULL,M
22,Cálculo 1,4,2,Outro,,SIM,Ter-10.Qui-10,N
23,Metodologia Científica para a Computação / T1,4,2,Ambos,,SIM,NULL,N
23,Metodologia Científica para a Computação / T2,4,2,CC,,NAO,NULL,N
25,Algoritmos e Estruturas de Dados I / M1,4,3,CC,16,SIM,NULL,M
25,Algoritmos e Estruturas de Dados I / M2,4,3,Ambos,16,SIM,NULL,M
25,Algoritmos e Estruturas de Dados I / M3,4,3,CC,16,NAO,NULL,M
28,Conceitos de Linguagens de Programação,4,3,Ambos,,SIM,NULL,N
29,Programação Orientada a Objetos,4,3,Ambos,16,SIM,NULL,N
30,Arquitetura e Organização de Computadores I,4,3,CC,20,SIM,NULL,M
30,Arquitetura e Organização de Computadores I,4,3,Ambos,20,SIM,NULL,M
32,Linguagens Formais,4,3,CC,5,SIM,NULL,N
32,Linguagens Formais,4,3,CC,5,NAO,NULL,N
34,Sociologia,2,3,Outro,,SIM,Qui-13,N
35,Cálculo 2,4,3,Outro,22,SIM,Ter-10.Qui-10,N
36,Álgebra Linear e Geometria Analítica,6,4,Outro,,SIM,Seg-10.Qua-10.Sex-10,N
37,Algoritmos e Estruturas de Dados II,4,4,Ambos,25,SIM,NULL,N
38,Arquitetura e Organização de Computadores II,4,4,Ambos,30,SIM,NULL,N
39,Epistemologia,2,4,Outro,,SIM,Ter-13,N
40,Estatística Básica para a Computação,4,4,Outro,35,SIM,Ter-10.Qui-10,N
41,Programação de Sistemas,4,5,Ambos,30,SIM,NULL,T
42,Teoria da Computação,4,4,Ambos,,SIM,NULL,N
43,Algoritmos e Estruturas de Dados III,4,5,CC,37,SIM,NULL,N
44,Fundamentos de Inteligência Artificial,4,5,Ambos,,SIM,NULL,M
45,Projeto de Banco de Dados,4,5,CC,,SIM,NULL,M
46,Redes de Computadores,4,5,Ambos,,SIM,NULL,M
47,Cálculo Numérico Computacional,4,6,Ambos,35,SIM,NULL,N
48,Computação Gráfica,4,6,Ambos,36,SIM,NULL,N
49,Engenharia de Software I,4,6,Ambos,,SIM,NULL,N
50,Sistemas Operacionais,4,6,Ambos,,SIM,NULL,N
51,Desenvolvimento de Softwares,4,7,Ambos,29,SIM,NULL,N
52,Engenharia de Software II,4,7,Ambos,49,SIM,NULL,N
53,Introdução ao Processamento Paralelo e Distribuído,4,7,Ambos,50,SIM,NULL,M
54,Projeto de Compiladores ,4,7,Ambos,32,SIM,NULL,M
55,Semântica Formal,4,7,Ambos,28,SIM,NULL,M
56,Trabalho de Conclusão I,8,7,Ambos,24,SIM,NULL,N
57,Computação e Sociedade,4,8,Ambos,,SIM,NULL,N
58,Processamento Digital de Imagens,4,8,Ambos,,SIM,NULL,M
